,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
273,SPNT,SiriusPoint Ltd.,2.07B,0.16%,57576,2.74B
274,TOWN,TowneBank,2.06B,-0.94%,21987,770.52M
275,HTH,Hilltop Holdings Inc.,2.06B,-0.38%,25239,1.18B
276,FRME,First Merchants Corporation,2.06B,-0.51%,55905,647.50M
277,BKU,"BankUnited, Inc.",2.05B,1.27%,126605,873.04M
278,AGM.A,Federal Agricultural Mortgage Corporation,1.96B,-,4,350.20M
279,AGM,Federal Agricultural Mortgage Corporation,1.96B,1.69%,10528,350.20M
280,TSLX,"Sixth Street Specialty Lending, Inc.",1.96B,1.19%,167149,438.09M
281,TBBK,"The Bancorp, Inc.",1.94B,1.04%,168675,447.82M
282,MBIN,Merchants Bancorp,1.93B,-0.85%,13969,482.46M
283,BFH,"Bread Financial Holdings, Inc.",1.92B,-6.22%,339619,3.06B
284,BRP,"BRP Group, Inc.",1.90B,-1.26%,70191,1.22B
285,IBTX,"Independent Bank Group, Inc.",1.88B,0.11%,154199,503.86M
286,NAVI,Navient Corporation,1.88B,0.67%,668643,1.15B
287,PLMR,"Palomar Holdings, Inc.",1.85B,-1.37%,15085,375.93M
288,DFIN,"Donnelley Financial Solutions, Inc.",1.84B,0.46%,16326,797.20M
289,BBAR,BBVA Argentina,1.81B,-5.02%,670087,974.44M
290,LOB,"Live Oak Bancshares, Inc.",1.80B,-0.87%,27977,405.72M
291,VRTS,"Virtus Investment Partners, Inc.",1.78B,-0.57%,13980,845.27M
292,RNST,Renasant Corporation,1.77B,-1.02%,22306,616.81M
293,NWLI,"National Western Life Group, Inc.",1.77B,-0.18%,1439,703.35M
294,OFG,OFG Bancorp,1.76B,-2.70%,69081,628.61M
295,ENVA,"Enova International, Inc.",1.75B,-2.60%,79147,1.23B
296,WSBC,"WesBanco, Inc.",1.75B,0.54%,57691,584.05M
297,TFIN,"Triumph Financial, Inc.",1.75B,-0.41%,29277,406.05M
298,CLBK,"Columbia Financial, Inc.",1.73B,1.27%,22027,228.47M
299,LKFN,Lakeland Financial Corporation,1.73B,-0.41%,60303,241.04M
300,CUBI,"Customers Bancorp, Inc.",1.72B,-1.83%,53025,683.40M
301,FBK,FB Financial Corporation,1.71B,-0.25%,7999,475.22M
302,GSBD,"Goldman Sachs BDC, Inc.",1.69B,-0.71%,109104,454.91M
303,BBUC,Brookfield Business Corporation,1.68B,-0.91%,2397,7.68B
304,STC,Stewart Information Services Corporation,1.68B,-0.03%,72171,2.21B
305,GCMG,GCM Grosvenor Inc,1.66B,1.27%,49667,445.00M
306,NBTB,NBT Bancorp Inc.,1.65B,0.23%,17365,495.12M
307,TRMK,Trustmark Corporation,1.65B,-0.26%,138675,735.26M
308,BANR,Banner Corporation,1.60B,0.26%,20034,609.63M
