,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
183,KTB,"Kontoor Brands, Inc.",3.42B,-1.30%,116344,2.61B
184,YETI,"YETI Holdings, Inc.",3.38B,-0.88%,309500,1.66B
185,PRKS,United Parks & Resorts Inc.,3.34B,-0.97%,76387,1.73B
186,VAC,Marriott Vacations Worldwide Corporation,3.31B,0.37%,54209,4.73B
187,TPH,"Tri Pointe Homes, Inc.",3.30B,-1.62%,207850,3.72B
188,ADNT,Adient plc,3.23B,0.20%,132225,15.36B
189,VC,Visteon Corporation,3.22B,-0.63%,33193,3.95B
190,TNL,Travel + Leisure Co.,3.21B,0.24%,59151,3.75B
191,MLCO,Melco Resorts & Entertainment Limited,3.19B,-,2563952,3.78B
192,GEF.B,"Greif, Inc.",3.14B,1.15%,7491,5.15B
193,SVV,"Savers Value Village, Inc.",3.12B,1.54%,182525,1.50B
194,SHOO,"Steven Madden, Ltd.",3.11B,-1.62%,207112,1.98B
195,GEF,"Greif, Inc.",3.10B,-0.02%,31668,5.15B
196,CRI,"Carter's, Inc.",3.04B,1.66%,205628,2.95B
197,CVCO,"Cavco Industries, Inc.",3.03B,1.80%,16815,1.85B
198,QS,QuantumScape Corporation,3.02B,-,1881262,-
199,KSS,Kohl's Corporation,3.02B,-0.29%,3351007,17.54B
200,AIN,Albany International Corp.,2.98B,-0.53%,8342,1.15B
201,LCII,LCI Industries,2.93B,0.44%,91090,3.78B
202,LTH,"Life Time Group Holdings, Inc.",2.89B,0.55%,173402,2.22B
203,ACVA,ACV Auctions Inc.,2.83B,-3.79%,110573,481.23M
204,DORM,"Dorman Products, Inc.",2.82B,0.32%,12478,1.93B
205,VSTS,Vestis Corporation,2.80B,0.86%,103487,-
206,PENN,"PENN Entertainment, Inc.",2.79B,2.35%,1141146,6.36B
207,JWN,"Nordstrom, Inc.",2.77B,3.68%,1191086,14.59B
208,LEG,"Leggett & Platt, Incorporated",2.74B,1.08%,442624,4.73B
209,CCS,"Century Communities, Inc.",2.72B,2.28%,85278,3.69B
210,BOOT,"Boot Barn Holdings, Inc.",2.66B,-1.52%,133586,1.70B
211,LGIH,"LGI Homes, Inc.",2.64B,0.93%,117881,2.36B
212,ZKH,ZKH Group Limited,2.63B,-3.18%,103837,1.16B
213,MODG,Topgolf Callaway Brands Corp.,2.60B,-0.49%,303190,4.28B
214,BLMN,"Bloomin' Brands, Inc.",2.59B,-3.67%,313026,4.67B
215,OI,"O-I Glass, Inc.",2.55B,1.97%,227283,7.11B
216,PATK,"Patrick Industries, Inc.",2.51B,-0.22%,31587,3.47B
217,ATAT,Atour Lifestyle Holdings Limited,2.50B,3.03%,102083,520.90M
218,FTDR,"Frontdoor, Inc.",2.47B,0.48%,160474,1.78B
219,DRVN,Driven Brands Holdings Inc.,2.44B,0.61%,232866,2.30B
220,ARCO,Arcos Dorados Holdings Inc.,2.43B,-0.09%,88738,4.18B
221,MCW,"Mister Car Wash, Inc.",2.42B,0.13%,174499,927.07M
222,PTVE,Pactiv Evergreen Inc.,2.36B,0.53%,37725,5.51B
223,GRBK,"Green Brick Partners, Inc.",2.34B,-0.38%,40579,1.78B
224,PZZA,"Papa John's International, Inc.",2.30B,1.03%,86823,2.14B
225,MBC,"MasterBrand, Inc.",2.29B,-1.44%,140163,2.73B
226,GTX,Garrett Motion Inc.,2.28B,-0.94%,107559,3.89B
227,FL,"Foot Locker, Inc.",2.28B,-0.21%,1451791,8.13B
228,MLKN,"MillerKnoll, Inc.",2.21B,-2.47%,173285,3.81B
229,SIX,Six Flags Entertainment Corporation,2.21B,-1.37%,138872,1.43B
230,FUN,"Cedar Fair, L.P.",2.17B,-0.16%,19625,1.80B
231,EAT,"Brinker International, Inc.",2.17B,-2.06%,1138641,4.25B
232,FOXF,Fox Factory Holding Corp.,2.16B,0.58%,59463,1.46B
233,SG,"Sweetgreen, Inc.",2.12B,1.01%,483256,584.04M
234,ARHS,"Arhaus, Inc.",2.09B,0.87%,228135,1.29B
235,AMBP,Ardagh Metal Packaging S.A.,2.07B,0.29%,216291,4.81B
236,HBI,Hanesbrands Inc.,1.96B,-4.11%,1666765,5.64B
237,BKE,"The Buckle, Inc.",1.93B,-0.79%,54354,1.28B
238,CAKE,The Cheesecake Factory Incorporated,1.89B,-1.63%,237108,3.44B
239,ODP,The ODP Corporation,1.89B,-0.58%,36560,7.83B
240,WGO,"Winnebago Industries, Inc.",1.87B,1.12%,107927,3.30B
241,EYE,"National Vision Holdings, Inc.",1.86B,-2.35%,133834,2.13B
242,VSTO,Vista Outdoor Inc.,1.86B,0.50%,66681,2.79B
243,SAH,"Sonic Automotive, Inc.",1.77B,0.04%,29050,14.37B
244,DAN,Dana Incorporated,1.76B,-,380688,10.56B
245,THRM,Gentherm Incorporated,1.76B,-0.14%,21424,1.47B
246,SGHC,Super Group (SGHC) Limited,1.74B,-0.57%,114753,1.49B
247,KAR,Openlane Inc.,1.73B,-0.81%,109603,1.65B
248,PTON,"Peloton Interactive, Inc.",1.72B,0.64%,4420200,2.73B
249,LVWR,"LiveWire Group, Inc.",1.66B,-6.47%,1244,38.02M
250,PHIN,PHINIA Inc.,1.66B,5.28%,345362,3.50B
251,OXM,"Oxford Industries, Inc.",1.65B,-0.77%,64971,1.55B
