,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
197,DDC,DDC Enterprise Limited,24.57M,-,20623,28.15M
198,YGF,"YanGuFang International Group Co., Ltd.",23.47M,-,4097,36.08M
199,RGF,"The Real Good Food Company, Inc.",23.41M,-15.94%,718997,156.38M
200,LOCL,Local Bounti Corporation,21.51M,3.54%,14128,27.33M
201,AAGR,African Agriculture Holdings Inc.,20.95M,-9.25%,343607,1.65M
202,FEDU,Four Seasons Education (Cayman) Inc.,20.77M,-,376,11.33M
203,SANW,S&W Seed Company,19.64M,-0.53%,168612,68.01M
204,PLAG,Planet Green Holdings Corp.,19.46M,1.04%,4317,24.26M
205,SDOT,Sadot Group Inc.,17.68M,0.03%,45165,708.48M
206,TCTM,TCTM Kids IT Education Inc.,16.46M,-3.95%,1702,293.63M
207,STKH,Steakholder Foods Ltd.,15.75M,3.10%,22535,-
208,BRFH,"Barfresh Food Group, Inc.",15.74M,-,219,7.64M
209,MTEX,"Mannatech, Incorporated",15.18M,10.90%,136,133.60M
210,EDTK,Skillful Craftsman Education Technology Limited,14.37M,1.06%,11892,5.52M
211,PAVS,Paranovus Entertainment Technology Ltd.,13.94M,-,110,51.46M
212,NCRA,"Nocera, Inc.",13.85M,-0.91%,1699,24.07M
213,GSUN,Golden Sun Education Group Limited,12.81M,-3.13%,10208,6.16M
214,EEIQ,EpicQuest Education Group International Limited,12.70M,-3.85%,11471,5.71M
215,PETZ,"TDH Holdings, Inc.",12.18M,-,25439,3.20M
216,TKLF,"Yoshitsu Co., Ltd",11.21M,6.50%,107478,166.27M
217,VINE,"Fresh Vine Wine, Inc.",11.18M,3.13%,4506,1.83M
218,BOF,BranchOut Food Inc.,9.63M,6.25%,25619,1.37M
219,GV,Visionary Education Technology Holdings Group Inc.,9.45M,1.18%,20641,8.43M
220,LSF,"Laird Superfood, Inc.",8.70M,1.91%,38181,33.99M
221,WAFU,Wah Fu Education Group Limited,8.51M,-3.11%,3631,10.69M
222,AQB,"AquaBounty Technologies, Inc.",8.23M,-4.02%,39163,2.37M
223,LQR,LQR House Inc.,7.82M,5.33%,55298,880.44K
224,BTCT,BTC Digital Ltd.,7.65M,1.42%,18933,-20.57M
225,JVA,"Coffee Holding Co., Inc.",7.54M,1.54%,5028,68.17M
226,XXII,"22nd Century Group, Inc.",6.17M,-4.26%,680693,82.41M
227,KAVL,"Kaival Brands Innovations Group, Inc.",6.12M,1.43%,312,13.09M
228,FAMI,"Farmmi, Inc.",6.07M,-2.16%,37770,110.36M
229,BON,Bon Natural Life Limited,5.85M,4.52%,113940,29.52M
230,BTTR,Better Choice Company Inc.,5.47M,-21.74%,527546,42.16M
231,BRSH,Bruush Oral Care Inc.,4.90M,25.57%,3065341,-
232,AMBO,Ambow Education Holding Ltd.,4.82M,25.88%,14889,14.68M
233,CLEU,China Liberal Education Holdings Limited,4.00M,-15.57%,113782,17.89M
234,SNAX,"Stryve Foods, Inc.",3.53M,0.87%,8495,20.23M
235,TANH,Tantech Holdings Ltd,2.35M,-2.44%,61393,46.21M
236,EDBL,Edible Garden AG Incorporated,2.14M,-,79765,13.04M
237,NUZE,"NuZee, Inc.",1.83M,0.70%,11610,3.35M
238,BSFC,Blue Star Foods Corp.,1.81M,-4.50%,1352718,7.17M
239,GNLN,"Greenlane Holdings, Inc.",1.77M,-0.59%,4272,77.34M
240,EAST,"Eastside Distilling, Inc.",1.66M,16.10%,57959,10.81M
241,AGRI,AgriFORCE Growing Systems Ltd.,837.78K,-,230597,-
