,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
153,EEX,"Emerald Holding, Inc.",375.66M,-1.82%,15909,382.80M
154,SSP,The E.W. Scripps Company,361.32M,0.70%,91428,2.29B
155,JFIN,Jiayin Group Inc.,344.12M,-3.28%,31004,676.85M
156,DRCT,"Direct Digital Holdings, Inc.",335.78M,-6.16%,52873,146.84M
157,TRUE,"TrueCar, Inc.",334.59M,-,68182,158.71M
158,GCI,"Gannett Co., Inc.",313.25M,2.44%,193591,2.66B
159,SOHU,Sohu.com Limited,312.07M,4.76%,19701,600.67M
160,CDLX,"Cardlytics, Inc.",311.28M,7.06%,251531,302.54M
161,WOW,"WideOpenWest, Inc.",293.97M,1.15%,112031,698.40M
162,MYPS,"PLAYSTUDIOS, Inc.",286.83M,2.80%,60507,313.15M
163,CTV,Innovid Corp.,283.65M,-0.50%,79850,139.88M
164,IHRT,"iHeartMedia, Inc.",275.80M,-4.78%,206279,3.75B
165,ADTH,"AdTheorent Holding Company, Inc.",260.31M,-6.44%,86723,162.93M
166,SIFY,Sify Technologies Limited,239.51M,0.76%,66052,421.93M
167,DOYU,DouYu International Holdings Limited,231.52M,4.97%,652540,813.69M
168,OOMA,"Ooma, Inc.",231.43M,-4.50%,41580,231.56M
169,HAO,Haoxi Health Technology Limited,216.09M,9.16%,5979,28.23M
170,OB,Outbrain Inc.,191.94M,6.99%,145637,935.82M
171,RDCM,RADCOM Ltd.,178.76M,-7.25%,59550,51.60M
172,TRVG,trivago N.V.,176.99M,1.59%,24181,538.92M
173,TSQ,"Townsquare Media, Inc.",175.76M,-1.77%,19166,459.72M
174,LVO,"LiveOne, Inc.",165.18M,-2.67%,152527,113.09M
175,EVC,Entravision Communications Corporation,152.16M,0.67%,826813,1.08B
176,SKLZ,Skillz Inc.,150.56M,-1.99%,53491,163.66M
177,SGA,"Saga Communications, Inc.",150.03M,-3.71%,7182,113.75M
178,CXDO,"Crexendo, Inc.",147.72M,-6.18%,147873,53.20M
179,TZOO,Travelzoo,134.69M,-0.41%,183767,81.94M
180,BRAG,Bragg Gaming Group Inc.,120.80M,2.71%,3041,99.83M
181,UONE,"Urban One, Inc.",119.87M,0.40%,30962,489.39M
182,FNGR,"FingerMotion, Inc.",119.28M,2.25%,216767,40.40M
183,HRYU,"Hanryu Holdings, Inc.",114.06M,-4.91%,113195,1.37M
184,GMGI,"Golden Matrix Group, Inc.",108.02M,2.43%,6083,44.17M
185,XNET,Xunlei Limited,101.24M,4.05%,119028,383.51M
186,WIMI,WiMi Hologram Cloud Inc.,95.38M,4.55%,487942,70.82M
187,SCOR,"comScore, Inc.",81.36M,-4.97%,19373,374.48M
188,KUKE,Kuke Music Holding Limited,79.15M,-16.35%,45548,-
189,CMCM,Cheetah Mobile Inc.,77.20M,-4.89%,11174,126.84M
190,GAIA,"Gaia, Inc.",74.45M,-2.02%,680,79.29M
191,MNY,MoneyHero Limited,69.94M,-4.68%,134002,123.27M
192,INUV,"Inuvo, Inc.",68.20M,-7.72%,160042,73.91M
193,LEE,"Lee Enterprises, Incorporated",67.64M,-5.00%,15805,661.68M
194,MATH,Metalpha Technology Holding Limited,65.77M,8.12%,20411,5.69M
195,BHAT,Blue Hat Interactive Entertainment Technology,65.41M,-,579620,51.69M
196,RDI,"Reading International, Inc.",64.66M,-1.63%,394,224.63M
197,CMLS,Cumulus Media Inc.,62.53M,-1.87%,3742,844.55M
198,KORE,"KORE Group Holdings, Inc.",60.31M,5.18%,19470,266.66M
199,MCHX,"Marchex, Inc.",60.21M,-1.08%,39583,49.81M
200,UCL,uCloudlink Group Inc.,55.84M,5.27%,1623,27.28M
201,STCN,"Steel Connect, Inc.",55.78M,1.69%,12773,179.07M
202,BODI,Beachbody Company Inc,55.60M,-2.68%,15351,527.11M
203,BZFD,"BuzzFeed, Inc.",54.68M,5.12%,560727,352.98M
204,HHS,"Harte Hanks, Inc.",54.56M,-1.85%,3801,196.78M
205,AREN,"The Arena Group Holdings, Inc.",51.88M,-,5486,214.52M
206,FLNT,"Fluent, Inc.",49.77M,-3.97%,43573,310.30M
207,ZDGE,"Zedge, Inc.",45.79M,-16.54%,25397,27.42M
208,TOON,Kartoon Studios Inc.,43.27M,-,83604,54.35M
209,ABLV,Able View Inc.,42.85M,-0.98%,108,226.92M
210,LPTV,"Loop Media, Inc.",41.73M,-17.93%,18199,26.99M
211,SJ,Scienjoy Holding Corporation,39.40M,13.54%,200565,216.01M
212,ICLK,iClick Interactive Asia Group Limited,38.63M,-1.27%,5966,150.76M
213,PODC,PodcastOne Inc,38.05M,9.73%,49086,-
214,SNAL,"Snail, Inc.",37.38M,-,3185,47.64M
215,AGAE,Allied Gaming & Entertainment Inc.,34.63M,2.13%,24852,6.80M
216,IZEA,"IZEA Worldwide, Inc.",29.98M,-,100908,36.12M
217,MMV,MultiMetaVerse Holdings Limited,28.43M,-7.85%,11663,9.79M
218,CURI,CuriosityStream Inc.,27.68M,3.79%,20486,56.61M
219,NCTY,The9 Limited,27.60M,7.06%,32277,-
220,ANGH,Anghami Inc.,26.53M,-1.22%,4767,46.25M
221,STBX,Starbox Group Holdings Ltd.,25.77M,3.46%,10479,11.74M
222,BBGI,"Beasley Broadcast Group, Inc.",24.94M,2.99%,9271,247.11M
223,DLPN,"Dolphin Entertainment, Inc.",24.13M,0.74%,12026,42.24M
224,GAME,GameSquare Holdings Inc,23.90M,5.78%,171470,-
225,HOFV,Hall of Fame Resort & Entertainment Company,23.17M,-3.85%,3343,20.52M
226,FENG,Phoenix New Media Limited,22.68M,10.67%,11821,96.85M
227,DALN,DallasNews Corporation,20.61M,-1.53%,3626,139.70M
228,TRUG,Trugolf Inc,19.10M,0.69%,53961,13.79M
229,BREA,Brera Holdings PLC,18.64M,9.21%,519366,120.79K
230,SOGP,Sound Group Inc,18.50M,5.43%,135345,307.65M
231,CHR,"Cheer Holding, Inc.",17.70M,0.38%,4719,154.58M
232,CNVS,Cineverse Corp.,17.06M,-4.48%,61353,51.82M
233,EDUC,Educational Development Corporation,15.01M,0.57%,2324,57.04M
234,GIGM,GigaMedia Limited,14.15M,-1.95%,2543,4.52M
235,FAZE,FaZe Holdings Inc.,14.12M,-,1891,58.15M
236,KRKR,36Kr Holdings Inc.,14.06M,-2.91%,34292,45.86M
237,MDIA,MediaCo Holding Inc.,12.94M,7.99%,94,24.95M
238,UPXI,"Upexi, Inc.",11.99M,-2.44%,40669,91.21M
239,LKCO,Luokung Technology Corp.,11.74M,13.30%,107832,36.98M
240,GDC,GD Culture Group Limited,9.78M,-,74070,435.48K
241,MIMO,Airspan Networks Holdings Inc.,9.74M,-0.38%,110175,112.81M
242,VSME,VS Media Holdings Limited,8.81M,-0.73%,33377,9.03M
243,SLE,"Super League Enterprise, Inc.",8.30M,-,20942,22.69M
