,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
160,DLB,"Dolby Laboratories, Inc.",7.92B,1.22%,38517,1.28B
161,CIEN,Ciena Corporation,7.85B,-5.05%,953767,4.37B
162,DSGX,The Descartes Systems Group Inc.,7.81B,0.72%,158038,572.93M
163,FN,Fabrinet,7.79B,-5.96%,149034,2.72B
164,CCCS,CCC Intelligent Solutions Holdings Inc.,7.64B,-1.82%,1075088,866.38M
165,SAIC,Science Applications International Corporation,7.33B,-0.59%,68939,7.68B
166,LYFT,"Lyft, Inc.",7.32B,-2.79%,3850251,4.40B
167,BILL,BILL Holdings Inc,7.22B,-1.47%,473135,1.19B
168,FOUR,"Shift4 Payments, Inc.",7.08B,2.78%,736128,2.56B
169,UI,Ubiquiti Inc.,7.08B,0.43%,14908,1.88B
170,CGNX,Cognex Corporation,7.03B,-0.12%,270571,837.55M
171,YMM,Full Truck Alliance Co. Ltd.,6.98B,3.07%,8372046,1.19B
172,RMBS,Rambus Inc.,6.88B,-1.94%,483585,461.12M
173,SPSC,"SPS Commerce, Inc.",6.82B,-0.27%,29256,536.91M
174,ALTR,Altair Engineering Inc.,6.80B,0.30%,49999,612.70M
175,MTSI,"MACOM Technology Solutions Holdings, Inc.",6.68B,-0.67%,318438,625.45M
176,VNT,Vontier Corporation,6.63B,-1.96%,102398,3.10B
177,ARW,"Arrow Electronics, Inc.",6.46B,0.70%,99270,33.11B
178,KVYO,"Klaviyo, Inc.",6.38B,-0.87%,332736,698.10M
179,NOVT,Novanta Inc.,6.29B,-0.45%,10038,881.66M
180,QLYS,"Qualys, Inc.",6.23B,2.28%,98962,554.46M
181,G,Genpact Limited,6.21B,-1.37%,240619,4.48B
182,NSIT,"Insight Enterprises, Inc.",6.07B,0.04%,93556,9.18B
183,ALGM,"Allegro MicroSystems, Inc.",6.00B,-0.67%,296280,1.08B
184,LFUS,"Littelfuse, Inc.",5.94B,-0.94%,32006,2.36B
185,SMAR,Smartsheet Inc.,5.63B,1.23%,843331,913.73M
186,FRSH,Freshworks Inc.,5.55B,2.47%,449924,596.43M
187,DV,"DoubleVerify Holdings, Inc.",5.51B,0.94%,753009,572.54M
188,CLS,Celestica Inc.,5.50B,-5.29%,2773824,7.96B
189,TENB,"Tenable Holdings, Inc.",5.50B,1.91%,1036788,798.71M
190,EXLS,"ExlService Holdings, Inc.",5.44B,-4.15%,272580,1.63B
191,VRNS,"Varonis Systems, Inc.",5.43B,-0.34%,156097,499.16M
192,PEGA,Pegasystems Inc.,5.41B,0.37%,93977,1.43B
193,ST,Sensata Technologies Holding plc,5.32B,0.34%,290845,4.05B
194,HCP,"HashiCorp, Inc.",5.30B,-1.84%,826026,583.14M
195,BRZE,"Braze, Inc.",5.29B,0.15%,142730,439.52M
196,STNE,StoneCo Ltd.,5.24B,1.68%,794324,2.31B
197,ALIT,"Alight, Inc.",5.13B,-0.66%,599075,3.41B
198,EEFT,"Euronet Worldwide, Inc.",5.11B,0.25%,47651,3.69B
199,NVMI,Nova Ltd.,5.09B,-4.04%,125903,517.92M
200,CRUS,"Cirrus Logic, Inc.",4.99B,0.26%,59371,1.79B
201,KD,"Kyndryl Holdings, Inc.",4.97B,3.75%,286740,16.46B
202,DLO,DLocal Limited,4.92B,0.09%,115949,580.77M
203,GBTG,"Global Business Travel Group, Inc.",4.81B,-1.25%,6105,2.27B
204,ASGN,ASGN Incorporated,4.80B,-1.58%,38983,4.45B
205,BMI,"Badger Meter, Inc.",4.73B,-2.06%,18180,703.59M
206,CLVT,Clarivate Plc,4.72B,1.13%,564938,2.63B
207,SLAB,Silicon Laboratories Inc.,4.67B,-0.68%,47688,782.26M
208,WK,Workiva Inc.,4.66B,-0.67%,395535,630.04M
209,CWAN,"Clearwater Analytics Holdings, Inc.",4.62B,-0.65%,359129,368.17M
210,VERX,"Vertex, Inc.",4.47B,-1.09%,60951,572.39M
211,FROG,JFrog Ltd.,4.46B,-1.56%,176881,349.89M
212,FIVN,"Five9, Inc.",4.39B,3.77%,374381,910.49M
213,SQSP,"Squarespace, Inc.",4.33B,0.67%,617171,1.01B
214,ITRI,"Itron, Inc.",4.33B,-2.34%,101134,2.17B
215,CVLT,"Commvault Systems, Inc.",4.31B,-0.98%,75138,819.43M
216,CNXC,Concentrix Corporation,4.31B,-1.57%,84433,7.11B
217,SEDG,"SolarEdge Technologies, Inc.",4.27B,-1.62%,457501,2.98B
218,BOX,"Box, Inc.",4.24B,-0.17%,708933,1.03B
219,SYNA,Synaptics Incorporated,4.23B,-0.46%,64707,1.03B
220,ASAN,"Asana, Inc.",4.22B,-0.95%,1021695,631.60M
221,AVT,"Avnet, Inc.",4.21B,0.69%,120886,25.61B
222,POWI,"Power Integrations, Inc.",4.20B,0.50%,61089,444.54M
223,PAGS,PagSeguro Digital Ltd.,4.20B,2.51%,341573,3.27B
224,IPGP,IPG Photonics Corporation,4.16B,0.04%,43641,1.29B
225,BL,"BlackLine, Inc.",4.13B,0.19%,229202,590.00M
226,RELY,"Remitly Global, Inc.",3.95B,-1.48%,255599,944.29M
227,BLKB,"Blackbaud, Inc.",3.91B,1.30%,57068,1.11B
228,DXC,DXC Technology Company,3.86B,0.67%,343460,13.87B
229,AI,"C3.ai, Inc.",3.81B,-2.62%,2390429,296.40M
230,SATS,EchoStar Corporation,3.74B,10.67%,649788,17.02B
231,CXM,"Sprinklr, Inc.",3.71B,-0.37%,570782,703.48M
232,ALRM,"Alarm.com Holdings, Inc.",3.71B,-0.92%,38948,881.68M
233,TDC,Teradata Corporation,3.71B,-0.11%,203756,1.83B
234,ACLS,"Axcelis Technologies, Inc.",3.67B,0.51%,226514,1.13B
235,DOCN,"DigitalOcean Holdings, Inc.",3.64B,2.06%,244825,692.88M
236,CRDO,Credo Technology Group Holding Ltd,3.63B,-7.92%,521514,164.28M
237,SANM,Sanmina Corporation,3.62B,-0.25%,67754,8.45B
238,BDC,Belden Inc.,3.61B,-2.11%,51190,2.51B
239,TSEM,Tower Semiconductor Ltd.,3.60B,-2.85%,112145,1.42B
240,WOLF,"Wolfspeed, Inc.",3.52B,0.32%,995570,870.30M
241,PYCR,"Paycor HCM, Inc.",3.49B,-,110220,604.65M
242,AYX,"Alteryx, Inc.",3.49B,0.15%,1505682,970.00M
243,CAMT,Camtek Ltd.,3.47B,-2.77%,436747,315.38M
244,FORM,"FormFactor, Inc.",3.44B,-0.47%,131135,663.10M
245,PWSC,"PowerSchool Holdings, Inc.",3.44B,-1.06%,57376,697.65M
246,ACIW,"ACI Worldwide, Inc.",3.41B,0.19%,57592,1.45B
247,RPD,"Rapid7, Inc.",3.39B,0.74%,152324,777.71M
248,AUR,"Aurora Innovation, Inc.",3.38B,-1.36%,2544585,-
249,NCNO,"nCino, Inc.",3.37B,0.14%,119503,462.03M
250,CLSK,"CleanSpark, Inc.",3.35B,-16.45%,24637605,214.38M
251,RNG,"RingCentral, Inc.",3.32B,-0.31%,293092,2.20B
252,SPT,"Sprout Social, Inc.",3.30B,-1.38%,77665,333.64M
253,NVEI,Nuvei Corporation,3.26B,-0.39%,88164,1.19B
254,LPL,"LG Display Co., Ltd.",3.24B,1.75%,82245,16.47B
255,DIOD,Diodes Incorporated,3.23B,2.19%,66205,1.66B
256,FLYW,Flywire Corporation,3.20B,-3.49%,205826,403.09M
257,VSH,"Vishay Intertechnology, Inc.",3.19B,-0.17%,134534,3.40B
258,LITE,Lumentum Holdings Inc.,3.16B,-1.70%,772953,1.44B
259,PI,"Impinj, Inc.",3.16B,0.57%,91339,307.54M
260,RIOT,"Riot Blockchain, Inc.",3.13B,-4.62%,14473404,280.68M
261,MQ,"Marqeta, Inc.",3.11B,-0.33%,2028392,676.17M
262,INST,"Instructure Holdings, Inc.",3.08B,-0.80%,44443,530.21M
263,YOU,"Clear Secure, Inc.",3.07B,0.83%,185301,613.58M
264,SRAD,Sportradar Group AG,2.98B,1.60%,39989,884.39M
265,ENV,"Envestnet, Inc.",2.97B,2.21%,81712,1.25B
266,QTWO,"Q2 Holdings, Inc.",2.89B,0.13%,127779,624.62M
267,KLIC,"Kulicke and Soffa Industries, Inc.",2.85B,-1.24%,64142,737.45M
268,WNS,WNS (Holdings) Limited,2.69B,-3.35%,25115,1.30B
269,AVDX,"AvidXchange Holdings, Inc.",2.66B,-0.61%,293746,380.72M
270,RUN,Sunrun Inc.,2.65B,-4.30%,3895944,2.26B
271,APPN,Appian Corporation,2.64B,-1.86%,80686,545.36M
272,PLXS,Plexus Corp.,2.63B,-2.01%,10557,4.10B
273,INTA,"Intapp, Inc.",2.60B,-2.78%,1665168,392.15M
274,ESE,ESCO Technologies Inc.,2.59B,-0.28%,11045,968.85M
275,TIXT,TELUS International (Cda) Inc.,2.49B,-1.31%,19038,2.71B
276,EVTC,"EVERTEC, Inc.",2.46B,-0.66%,378956,694.71M
277,NABL,"N-able, Inc.",2.44B,-0.30%,60855,421.88M
278,ODD,Oddity Tech Ltd.,2.41B,1.07%,422402,508.69M
279,SIMO,Silicon Motion Technology Corporation,2.40B,0.04%,45047,945.92M
280,VIAV,Viavi Solutions Inc.,2.39B,0.19%,2227005,1.01B
281,PAY,"Paymentus Holdings, Inc.",2.38B,8.38%,382902,614.49M
282,PRGS,Progress Software Corporation,2.36B,-0.17%,44693,694.44M
283,SONO,"Sonos, Inc.",2.36B,-0.52%,422116,1.60B
284,VSAT,"Viasat, Inc.",2.36B,3.88%,238746,3.80B
285,CALX,"Calix, Inc.",2.34B,-1.32%,135873,1.04B
286,RAMP,"LiveRamp Holdings, Inc.",2.31B,-1.89%,68677,636.44M
287,PD,"PagerDuty, Inc.",2.27B,-3.28%,181496,420.55M
288,CLBT,Cellebrite DI Ltd.,2.26B,-,327477,325.11M
289,AMBA,"Ambarella, Inc.",2.26B,-1.19%,115468,258.18M
290,OSIS,"OSI Systems, Inc.",2.26B,-2.38%,56114,1.37B
291,JAMF,Jamf Holding Corp.,2.26B,0.34%,59146,560.57M
292,ALKT,"Alkami Technology, Inc.",2.25B,-2.02%,93762,264.83M
293,IONQ,"IonQ, Inc.",2.25B,-9.44%,5696666,22.04M
294,ZETA,Zeta Global Holdings Corp.,2.23B,1.57%,287385,728.72M
295,PRFT,"Perficient, Inc.",2.22B,-1.40%,28369,906.54M
296,SHLS,"Shoals Technologies Group, Inc.",2.22B,-0.23%,1105842,488.94M
297,SITM,SiTime Corporation,2.20B,-2.06%,39117,143.99M
298,VYX,NCR Voyix Corporation,2.20B,0.90%,714727,7.90B
299,VZIO,VIZIO Holding Corp.,2.19B,0.82%,1783014,1.68B
300,DAVA,Endava plc,2.17B,-0.53%,188199,968.73M
301,PLUS,ePlus inc.,2.16B,1.92%,228482,2.16B
302,ROG,Rogers Corporation,2.16B,1.60%,41620,908.40M
303,AGYS,"Agilysys, Inc.",2.09B,-2.34%,127595,228.14M
304,XRX,Xerox Holdings Corporation,2.07B,1.02%,422327,6.89B
305,UCTT,"Ultra Clean Holdings, Inc.",2.07B,-1.64%,84037,1.73B
306,LSPD,Lightspeed Commerce Inc.,2.06B,-1.11%,266449,863.28M
307,SWI,SolarWinds Corporation,2.04B,-0.16%,56864,758.74M
308,VECO,Veeco Instruments Inc.,2.02B,-3.13%,102531,666.44M
309,BMBL,Bumble Inc.,1.98B,2.94%,795161,1.05B
310,VRNT,Verint Systems Inc.,1.95B,-1.04%,415074,881.53M
311,ARRY,"Array Technologies, Inc.",1.93B,-1.25%,1616412,1.58B
312,DQ,Daqo New Energy Corp.,1.90B,3.10%,1385909,2.31B
313,RUM,Rumble Inc.,1.89B,-0.89%,467389,80.53M
314,FSLY,"Fastly, Inc.",1.87B,0.29%,2450647,505.99M
315,ACMR,"ACM Research, Inc.",1.84B,-6.03%,844244,557.72M
316,PLAB,"Photronics, Inc.",1.84B,0.38%,152592,897.32M
317,SOUN,"SoundHound AI, Inc.",1.81B,2.05%,19681432,45.87M
318,UPBD,"Upbound Group, Inc.",1.80B,-1.31%,60710,3.99B
319,EVCM,EverCommerce Inc.,1.80B,1.36%,17187,667.73M
320,BB,BlackBerry Limited,1.79B,10.87%,6608163,831.00M
321,COMP,"Compass, Inc.",1.77B,-2.67%,1561856,4.89B
322,MXL,"MaxLinear, Inc.",1.72B,-1.81%,132830,693.26M
323,CNXN,"PC Connection, Inc.",1.71B,-0.09%,11258,2.85B
324,SPNS,Sapiens International Corporation N.V.,1.70B,1.13%,97834,514.58M
325,PAYO,Payoneer Global Inc.,1.70B,-1.30%,668535,831.10M
326,VTEX,VTEX,1.69B,-3.26%,268952,201.52M
327,PRO,"PROS Holdings, Inc.",1.68B,-,55939,303.71M
328,VICR,Vicor Corporation,1.64B,-1.41%,60401,405.06M
329,GRND,Grindr Inc.,1.64B,1.39%,258645,259.69M
330,NATL,NCR Atleos Corporation,1.60B,1.08%,654556,-
331,SEMR,"Semrush Holdings, Inc.",1.59B,-3.59%,151790,307.68M
332,DCBO,Docebo Inc.,1.59B,0.58%,20320,180.84M
333,CSGS,"CSG Systems International, Inc.",1.56B,1.35%,79458,1.17B
334,NTCT,"NetScout Systems, Inc.",1.55B,9.05%,461759,834.11M
335,TTMI,"TTM Technologies, Inc.",1.53B,-2.06%,63844,2.23B
336,EXTR,"Extreme Networks, Inc.",1.53B,0.51%,746300,1.35B
337,JKS,"JinkoSolar Holding Co., Ltd.",1.51B,3.51%,412670,15.94B
338,COHU,"Cohu, Inc.",1.50B,-0.78%,45505,636.32M
339,SMTC,Semtech Corporation,1.50B,-3.34%,193135,843.32M
340,STER,Sterling Check Corp.,1.49B,-0.19%,213043,719.64M
341,KN,Knowles Corporation,1.48B,-,64723,707.60M
342,GDS,GDS Holdings Limited,1.48B,22.00%,3374892,9.80B
343,HLIT,Harmonic Inc.,1.46B,-0.31%,215405,607.91M
344,AVPT,"AvePoint, Inc.",1.45B,-0.25%,124030,271.83M
345,EVBG,"Everbridge, Inc.",1.44B,-0.46%,431852,448.79M
346,GCT,GigaCloud Technology Inc.,1.40B,-10.30%,1181029,584.70M
347,MLNK,"MeridianLink, Inc.",1.40B,-0.22%,206544,299.59M
348,CTS,CTS Corporation,1.37B,-0.18%,35303,550.42M
349,BASE,"Couchbase, Inc.",1.36B,-4.45%,145960,171.57M
350,AMPL,"Amplitude, Inc.",1.34B,0.31%,119075,276.28M
351,CSIQ,Canadian Solar Inc.,1.33B,-0.19%,413399,7.88B
352,PDFS,"PDF Solutions, Inc.",1.33B,-0.58%,15881,165.84M
353,ZUO,"Zuora, Inc.",1.32B,1.31%,234142,424.03M
354,CRSR,"Corsair Gaming, Inc.",1.31B,1.93%,56108,1.46B
355,ETWO,"E2open Parent Holdings, Inc.",1.30B,-0.12%,328692,642.37M
356,DBD,"Diebold Nixdorf, Incorporated",1.28B,-1.90%,15318,3.49B
357,ICHR,"Ichor Holdings, Ltd.",1.25B,-2.20%,27271,811.12M
358,ADEA,Adeia Inc.,1.23B,-1.50%,77130,388.79M
359,PAR,PAR Technology Corporation,1.22B,-3.11%,155754,415.82M
360,SGH,"SMART Global Holdings, Inc.",1.19B,-2.40%,110540,1.25B
361,FORTY,Formula Systems (1985) Ltd.,1.19B,-,108,2.64B
362,INDI,"indie Semiconductor, Inc.",1.15B,3.08%,613163,223.17M
363,PGY,Pagaya Technologies Ltd.,1.14B,-,825862,812.05M
364,TASK,"TaskUs, Inc.",1.12B,-0.16%,86042,924.37M
365,BHE,"Benchmark Electronics, Inc.",1.11B,-3.28%,85154,2.84B
366,SCSC,"ScanSource, Inc.",1.10B,-2.01%,36633,3.59B
367,IMOS,ChipMOS TECHNOLOGIES INC.,1.09B,0.54%,8320,766.03M
368,DGII,Digi International Inc.,1.08B,0.71%,12592,441.63M
