,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
160,TKR,The Timken Company,6.05B,-0.54%,56958,4.77B
161,ADT,ADT Inc.,6.03B,0.61%,4110085,4.98B
162,MLI,"Mueller Industries, Inc.",5.88B,0.37%,171474,3.42B
163,GXO,"GXO Logistics, Inc.",5.87B,0.10%,174477,9.78B
164,FLS,Flowserve Corporation,5.70B,1.48%,132824,4.32B
165,FTAI,FTAI Aviation Ltd,5.64B,-1.44%,152759,1.17B
166,MSM,"MSC Industrial Direct Co., Inc.",5.58B,-2.18%,94240,4.01B
167,LPX,Louisiana-Pacific Corporation,5.56B,-0.59%,301447,2.58B
168,BECN,"Beacon Roofing Supply, Inc.",5.54B,-1.69%,96387,9.12B
169,ZWS,Zurn Elkay Water Solutions Corporation,5.50B,-1.38%,139075,1.53B
170,CWST,"Casella Waste Systems, Inc.",5.41B,0.59%,40445,1.26B
171,AWI,"Armstrong World Industries, Inc.",5.35B,-1.18%,54545,1.30B
172,MOG.B,Moog Inc.,5.24B,7.90%,294,3.42B
173,MMS,"Maximus, Inc.",5.22B,-1.24%,24058,4.98B
174,SPXC,"SPX Technologies, Inc.",5.22B,-1.25%,15971,1.74B
175,KEX,Kirby Corporation,5.15B,-1.60%,63821,3.09B
176,R,"Ryder System, Inc.",5.04B,-0.14%,50883,11.78B
177,AL,Air Lease Corporation,4.92B,1.14%,469571,2.68B
178,FSS,Federal Signal Corporation,4.91B,-3.24%,42667,1.72B
179,SRCL,"Stericycle, Inc.",4.83B,-0.42%,137452,2.66B
180,MOG.A,Moog Inc.,4.74B,-2.07%,12636,3.42B
181,GATX,GATX Corporation,4.70B,-0.17%,19334,1.41B
182,FELE,"Franklin Electric Co., Inc.",4.69B,-0.42%,18839,2.07B
183,AVAV,"AeroVironment, Inc.",4.68B,-3.81%,151072,705.78M
184,ALK,"Alaska Air Group, Inc.",4.61B,2.10%,588733,10.43B
185,MDU,"MDU Resources Group, Inc.",4.60B,-0.66%,1249813,4.66B
186,HRI,Herc Holdings Inc.,4.39B,-0.42%,46298,3.28B
187,VMI,"Valmont Industries, Inc.",4.35B,0.50%,33296,4.17B
188,GTES,Gates Industrial Corporation plc,4.22B,1.48%,419757,3.57B
189,CPA,"Copa Holdings, S.A.",4.20B,1.39%,48633,2.97B
190,DY,"Dycom Industries, Inc.",4.16B,-3.20%,90108,4.18B
191,SPR,"Spirit AeroSystems Holdings, Inc.",4.15B,-3.72%,1247475,6.05B
192,ACA,"Arcosa, Inc.",4.11B,-1.02%,32920,2.31B
193,SNDR,"Schneider National, Inc.",4.10B,0.39%,189634,5.50B
194,EXPO,"Exponent, Inc.",4.08B,-1.43%,27164,536.77M
195,CAR,"Avis Budget Group, Inc.",3.97B,-0.18%,79495,12.01B
196,TEX,Terex Corporation,3.92B,-0.22%,150398,5.15B
197,ERJ,Embraer S.A.,3.90B,-0.93%,442569,4.54B
198,AEIS,"Advanced Energy Industries, Inc.",3.87B,-3.02%,37077,1.66B
199,KAI,Kadant Inc.,3.83B,-1.30%,11610,957.67M
200,JOBY,"Joby Aviation, Inc.",3.80B,0.92%,2034137,1.23M
201,ENS,EnerSys,3.79B,-0.47%,20446,3.66B
202,NSP,"Insperity, Inc.",3.77B,-0.16%,53208,6.49B
203,VRRM,Verra Mobility Corporation,3.76B,-0.35%,147826,817.31M
204,BCO,The Brink's Company,3.74B,-0.31%,21392,4.87B
205,CBZ,"CBIZ, Inc.",3.72B,-3.02%,57103,1.59B
206,CAAP,Corporación América Airports S.A.,3.68B,-2.51%,48763,1.65B
207,MATX,"Matson, Inc.",3.66B,2.36%,61608,3.09B
208,OMAB,"Grupo Aeroportuario del Centro Norte, SAB de CV",3.63B,-1.35%,12559,612.67M
209,MAN,ManpowerGroup Inc.,3.63B,-1.37%,63542,18.91B
210,ATS,ATS Corporation,3.62B,-2.11%,31634,2.20B
211,CSWI,"CSW Industrials, Inc.",3.60B,-0.26%,12696,777.67M
212,GMS,GMS Inc.,3.59B,0.13%,85515,5.39B
213,WIRE,Encore Wire Corporation,3.52B,-1.18%,31161,2.57B
214,HI,"Hillenbrand, Inc.",3.47B,-2.12%,215956,2.94B
215,STRL,"Sterling Infrastructure, Inc.",3.44B,-2.33%,116186,1.97B
216,KFY,Korn Ferry,3.43B,-1.19%,92273,2.83B
217,GFF,Griffon Corporation,3.42B,-2.53%,113819,2.68B
218,CXT,"Crane NXT, Co.",3.39B,0.02%,124926,1.39B
219,ENOV,Enovis Corporation,3.39B,-0.48%,53979,1.71B
220,NPO,"EnPro Industries, Inc.",3.37B,-3.24%,29516,1.06B
