,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
168,VTOL,Bristow Group Inc.,719.96M,-0.70%,15233,1.30B
169,TNP,Tsakos Energy Navigation Limited,701.64M,-0.04%,82551,860.40M
170,VTS,"Vitesse Energy, Inc.",690.40M,2.46%,31871,233.91M
171,NOA,North American Construction Group Ltd.,674.64M,0.56%,10358,640.25M
172,TK,Teekay Corporation,653.42M,-0.42%,88899,1.52B
173,LEU,Centrus Energy Corp.,614.48M,-1.70%,64693,320.20M
174,CLNE,Clean Energy Fuels Corp.,598.26M,-1.12%,426317,425.16M
175,NR,"Newpark Resources, Inc.",586.19M,-0.29%,150489,749.60M
176,DEC,Diversified Energy Company PLC,566.70M,-,284982,-
177,TXO,TXO Partners L.P.,562.72M,-0.54%,17933,380.72M
178,REPX,"Riley Exploration Permian, Inc.",562.22M,-0.51%,19294,375.05M
179,PBT,Permian Basin Royalty Trust,546.26M,-0.59%,29760,29.10M
180,OBE,Obsidian Energy Ltd.,545.81M,1.56%,157541,514.59M
181,BRY,Berry Corporation,535.86M,4.27%,249490,903.46M
182,GPRK,GeoPark Limited,521.90M,0.76%,174037,787.86M
183,TTI,"TETRA Technologies, Inc.",517.75M,4.03%,814060,626.26M
184,SD,"SandRidge Energy, Inc.",514.22M,-3.46%,210764,148.64M
185,EGY,"VAALCO Energy, Inc.",451.13M,2.80%,127140,402.50M
186,URG,Ur-Energy Inc.,442.15M,-2.55%,1707903,17.68M
187,OSG,"Overseas Shipholding Group, Inc.",433.24M,3.16%,183958,451.87M
188,SGU,"Star Group, L.P.",390.96M,-,4025,1.83B
189,WTI,"W&T Offshore, Inc.",378.89M,0.39%,1543894,532.66M
190,SOI,"Solaris Oilfield Infrastructure, Inc.",358.93M,0.24%,78850,292.95M
191,OIS,"Oil States International, Inc.",353.52M,-0.18%,494553,782.28M
192,BOOM,DMC Global Inc.,345.86M,2.04%,72750,719.19M
193,REI,"Ring Energy, Inc.",318.67M,3.21%,1125535,361.06M
194,UROY,Uranium Royalty Corp.,310.81M,0.78%,735017,21.29M
195,CCLP,CSI Compressco LP,307.79M,-0.46%,48128,386.13M
196,HNRG,Hallador Energy Company,292.64M,-5.36%,104378,667.37M
197,BROG,Brooge Energy Limited,264.11M,0.41%,290,-
198,SJT,San Juan Basin Royalty Trust,255.88M,4.08%,152396,78.31M
199,RNGR,"Ranger Energy Services, Inc.",253.59M,0.18%,129542,636.60M
200,FET,"Forum Energy Technologies, Inc.",232.90M,0.03%,3812,738.86M
201,AMPY,Amplify Energy Corp.,231.49M,15.92%,1662007,79.21B
202,NC,"NACCO Industries, Inc.",221.12M,1.93%,2069,214.79M
203,NGS,"Natural Gas Services Group, Inc.",216.78M,-1.03%,14933,108.77M
204,SMLP,"Summit Midstream Partners, LP",214.21M,-1.10%,22027,417.31M
205,EPM,Evolution Petroleum Corporation,197.39M,1.36%,83504,96.67M
206,PNRG,PrimeEnergy Resources Corporation,187.54M,-0.22%,196,111.14M
207,GTE,Gran Tierra Energy Inc.,185.66M,1.75%,65647,636.96M
208,GEOS,Geospace Technologies Corporation,160.87M,-,61407,143.43M
209,KGEI,Kolibri Global Energy Inc.,136.80M,2.13%,2162,-
210,AMTX,"Aemetis, Inc.",132.94M,-4.46%,150663,182.69M
211,EP,Empire Petroleum Corporation,132.32M,0.69%,4992,37.42M
212,KLXE,"KLX Energy Services Holdings, Inc.",121.94M,-0.41%,260362,888.40M
213,VTNR,"Vertex Energy, Inc.",120.63M,-4.65%,561056,3.18B
214,PHX,PHX Minerals Inc.,112.48M,-0.66%,13290,50.95M
215,EPSN,Epsilon Energy Ltd.,110.58M,-0.40%,7114,37.38M
216,DLNG,Dynagas LNG Partners LP,104.89M,0.35%,8173,158.59M
217,MMLP,Martin Midstream Partners L.P.,104.52M,1.53%,5281,797.96M
218,VOC,VOC Energy Trust,102.68M,0.65%,42417,19.14M
219,CRT,Cross Timbers Royalty Trust,99.67M,0.36%,21949,12.71M
220,BATL,Battalion Oil Corporation,96.27M,1.38%,936,250.32M
221,DTI,Drilling Tools International Corp.,89.90M,1.33%,3026,-
222,SND,"Smart Sand, Inc.",83.06M,1.76%,49473,295.97M
223,FTK,"Flotek Industries, Inc.",82.76M,-1.43%,54071,194.09M
224,NINE,"Nine Energy Service, Inc.",78.42M,6.31%,215636,609.53M
225,IMPP,Imperial Petroleum Inc.,77.87M,-,58642,183.73M
226,SLNG,"Stabilis Solutions, Inc.",75.27M,-,4332,73.11M
227,AE,"Adams Resources & Energy, Inc.",67.61M,-4.26%,1362,2.78B
228,PFIE,"Profire Energy, Inc.",65.67M,3.62%,52326,57.80M
229,PED,PEDEVCO Corp.,60.52M,0.92%,31478,29.97M
230,PRT,PermRock Royalty Trust,53.77M,-0.45%,7467,9.03M
231,NRT,North European Oil Royalty Trust,50.46M,2.65%,14180,12.68M
232,BPT,BP Prudhoe Bay Royalty Trust,46.65M,2.83%,46039,22.11M
233,PVL,Permianville Royalty Trust,45.21M,-0.73%,33192,15.17M
234,DWSN,Dawson Geophysical Company,44.68M,-4.83%,5560,87.25M
235,NCSM,"NCS Multistage Holdings, Inc.",39.12M,1.52%,4034,142.47M
236,SDPI,"Superior Drilling Products, Inc.",27.16M,0.72%,57404,21.95M
237,BANL,CBL International Limited,26.50M,-4.72%,17674,419.17M
238,CKX,"CKX Lands, Inc.",26.06M,1.13%,71,1.08M
239,USEG,U.S. Energy Corp.,25.77M,1.50%,7302,35.37M
240,ICD,"Independence Contract Drilling, Inc.",25.65M,11.66%,10168,210.11M
241,VIVK,"Vivakor, Inc.",23.86M,-1.09%,14035,61.79M
242,BRN,"Barnwell Industries, Inc.",22.86M,1.75%,4774,23.91M
243,CEI,"Camber Energy, Inc.",22.15M,2.28%,1175371,10.35M
244,RCON,"Recon Technology, Ltd.",21.61M,-,388400,9.27M
245,INDO,Indonesia Energy Corporation Limited,21.60M,1.41%,15588,3.61M
246,MXC,Mexco Energy Corporation,20.68M,-0.71%,614,7.01M
247,MTR,Mesa Royalty Trust,18.80M,0.40%,5686,4.13M
248,HUSA,Houston American Energy Corp.,13.85M,0.79%,22846,872.18K
249,MARPS,Marine Petroleum Trust,7.96M,-,2999,1.18M
250,ENSV,Enservco Corporation,5.23M,1.29%,273504,22.08M
251,TPET,Trio Petroleum Corp.,3.81M,8.05%,3465229,-
